seq,kickoff,league,home,away
1,2026-06-20T22:00:00+08:00,英超,曼城,热刺
2,2026-06-20T22:00:00+08:00,西甲,皇家社会,比利亚雷亚尔
3,2026-06-20T23:30:00+08:00,德甲,多特蒙德,法兰克福
4,2026-06-21T00:00:00+08:00,意甲,佛罗伦萨,都灵
5,2026-06-21T01:00:00+08:00,法甲,里尔,雷恩
6,2026-06-21T02:45:00+08:00,英冠,利兹联,诺维奇
7,2026-06-21T03:00:00+08:00,西甲,塞维利亚,贝蒂斯
8,2026-06-21T18:00:00+08:00,日职,横滨水手,大阪樱花
9,2026-06-21T19:00:00+08:00,韩职,蔚山现代,水原FC
10,2026-06-21T21:00:00+08:00,瑞超,马尔默,赫根
11,2026-06-21T22:00:00+08:00,挪超,博德闪耀,维京
12,2026-06-22T00:30:00+08:00,巴甲,弗拉门戈,米内罗竞技
13,2026-06-22T03:00:00+08:00,美职,洛杉矶FC,西雅图海湾人
14,2026-06-22T07:00:00+08:00,阿甲,博卡青年,竞技
